cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,w_c_ratio,binder,w_b_ratio
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,0.3,540.0,0.3
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.3,540.0,0.3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857142857142857,475.0,0.48
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.6857142857142857,475.0,0.48
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.9667673716012085,331.0,0.5800604229607251
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,0.8571428571428571,380.0,0.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,0.6,475.0,0.48
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,0.6,475.0,0.48
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.8571428571428571,380.0,0.6
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,475.0,0.48
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,0.9667673716012085,331.0,0.5800604229607251
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,0.9667673716012085,331.0,0.5800604229607251
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,0.5333333333333333,475.0,0.48
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,1.2,380.0,0.6
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,0.75,380.0,0.6
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,0.6,380.0,0.6
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,1.3753581661891119,349.0,0.5501432664756447
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,0.6666666666666666,380.0,0.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,0.6,475.0,0.48
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,0.48,475.0,0.48
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,0.5333333333333333,475.0,0.48
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,1.3753581661891119,349.0,0.5501432664756447
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,1.3753581661891119,349.0,0.5501432664756447
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,1.3753581661891119,349.0,0.5501432664756447
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,0.6,380.0,0.6
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6,380.0,0.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,0.6,475.0,0.48
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,0.6666666666666666,380.0,0.6
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,0.5333333333333333,475.0,0.48
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.48,475.0,0.48
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,0.75,380.0,0.6
